2021-08-13 01:05:09:697 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 137736417, id=151, symbol=ABEV, open=3.17, high=3.2, low=3.123, close=3.15, volume=128375, wap=3.164995, count=13333}, HistDataBean{time='2021-08-09 00:00:00', conid= 137736417, id=149, symbol=ABEV, open=3.25, high=3.28, low=3.2, close=3.21, volume=277215, wap=3.234755, count=36953}], [HistDataBean{time='2021-08-03 00:00:00', conid= 137736417, id=145, symbol=ABEV, open=3.16, high=3.28, low=3.11, close=3.25, volume=277181, wap=3.208095, count=31886}, HistDataBean{time='2021-07-29 00:00:00', conid= 137736417, id=142, symbol=ABEV, open=3.24, high=3.385, low=3.22, close=3.33, volume=360574, wap=3.320015, count=28101}]]
2021-08-13 01:05:10:284 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-09 00:00:00', conid= 14680959, id=149, symbol=ABG, open=193.0, high=195.79, low=188.37, close=193.31, volume=866, wap=193.038, count=658}, HistDataBean{time='2021-08-02 00:00:00', conid= 14680959, id=144, symbol=ABG, open=206.0, high=211.46, low=203.79, close=204.3, volume=2062, wap=207.1155, count=1170}], [HistDataBean{time='2021-07-27 00:00:00', conid= 14680959, id=140, symbol=ABG, open=200.0, high=202.45, low=190.86, close=196.92, volume=1278, wap=195.8465, count=955}, HistDataBean{time='2021-07-14 00:00:00', conid= 14680959, id=131, symbol=ABG, open=190.88, high=194.98, low=188.58, close=188.8, volume=1220, wap=192.2465, count=649}]]
2021-08-13 01:05:11:437 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 359788451, id=150, symbol=ABIO, open=3.1, high=3.13, low=3.01, close=3.06, volume=2001, wap=3.046, count=339}, HistDataBean{time='2021-08-04 00:00:00', conid= 359788451, id=146, symbol=ABIO, open=3.01, high=3.04, low=2.9, close=2.94, volume=3346, wap=2.952, count=737}], [HistDataBean{time='2021-07-29 00:00:00', conid= 359788451, id=142, symbol=ABIO, open=3.1, high=3.84, low=3.08, close=3.41, volume=58829, wap=3.5295, count=11160}, HistDataBean{time='2021-07-27 00:00:00', conid= 359788451, id=140, symbol=ABIO, open=2.97, high=3.1, low=2.92, close=2.98, volume=3060, wap=2.984, count=536}]]
2021-08-13 01:05:12:075 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 4050, id=151, symbol=ABM, open=47.29, high=47.93, low=47.0, close=47.92, volume=1088, wap=47.458, count=625}, HistDataBean{time='2021-08-10 00:00:00', conid= 4050, id=150, symbol=ABM, open=46.55, high=47.22, low=46.3, close=47.13, volume=876, wap=47.0105, count=640}], [HistDataBean{time='2021-07-30 00:00:00', conid= 4050, id=143, symbol=ABM, open=46.82, high=47.6, low=46.27, close=46.49, volume=4474, wap=46.54, count=3047}, HistDataBean{time='2021-08-03 00:00:00', conid= 4050, id=145, symbol=ABM, open=45.55, high=47.27, low=45.03, close=47.19, volume=3757, wap=46.66, count=2942}]]
2021-08-13 01:05:13:261 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 459530964, id=151, symbol=ABNB, open=147.54, high=149.28, low=145.15, close=148.16, volume=48500, wap=147.301, count=29763}, HistDataBean{time='2021-08-09 00:00:00', conid= 459530964, id=149, symbol=ABNB, open=148.75, high=151.0, low=148.7, close=149.44, volume=38303, wap=149.699, count=22651}], [HistDataBean{time='2021-07-19 00:00:00', conid= 459530964, id=134, symbol=ABNB, open=131.49, high=133.77, low=130.31, close=131.88, volume=50125, wap=131.62, count=30208}, HistDataBean{time='2021-07-01 00:00:00', conid= 459530964, id=123, symbol=ABNB, open=154.57, high=157.41, low=151.41, close=153.08, volume=69281, wap=154.391, count=37671}]]
2021-08-13 01:05:14:465 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 29661257, id=151, symbol=ABR, open=18.58, high=18.75, low=18.36, close=18.7, volume=25915, wap=18.609, count=9307}, HistDataBean{time='2021-08-04 00:00:00', conid= 29661257, id=146, symbol=ABR, open=17.83, high=18.12, low=17.68, close=18.04, volume=10089, wap=17.973, count=4340}], [HistDataBean{time='2021-08-02 00:00:00', conid= 29661257, id=144, symbol=ABR, open=18.35, high=18.59, low=18.09, close=18.13, volume=11644, wap=18.3375, count=5440}, HistDataBean{time='2021-07-19 00:00:00', conid= 29661257, id=134, symbol=ABR, open=17.34, high=17.48, low=16.82, close=17.29, volume=18776, wap=17.1785, count=8608}]]
2021-08-13 01:05:17:058 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 4065, id=150, symbol=ABT, open=123.35, high=123.56, low=122.1, close=122.7, volume=31545, wap=122.901, count=19935}, HistDataBean{time='2021-07-22 00:00:00', conid= 4065, id=137, symbol=ABT, open=118.0, high=118.75, low=115.86, close=118.25, volume=44436, wap=117.4985, count=26432}], [HistDataBean{time='2021-07-09 00:00:00', conid= 4065, id=128, symbol=ABT, open=119.65, high=120.24, low=119.24, close=119.74, volume=26093, wap=119.7175, count=17001}, HistDataBean{time='2021-07-15 00:00:00', conid= 4065, id=132, symbol=ABT, open=116.7, high=117.16, low=116.27, close=116.66, volume=25347, wap=116.7405, count=16303}]]
2021-08-13 01:05:17:635 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-09 00:00:00', conid= 209048380, id=149, symbol=ABTX, open=37.84, high=38.46, low=37.54, close=37.89, volume=215, wap=38.0055, count=178}, HistDataBean{time='2021-07-19 00:00:00', conid= 209048380, id=134, symbol=ABTX, open=34.83, high=35.27, low=34.3, close=34.76, volume=213, wap=34.837, count=147}], [HistDataBean{time='2021-07-13 00:00:00', conid= 209048380, id=130, symbol=ABTX, open=37.61, high=38.31, low=36.37, close=36.55, volume=188, wap=36.64, count=175}, HistDataBean{time='2021-07-08 00:00:00', conid= 209048380, id=127, symbol=ABTX, open=35.8, high=36.63, low=35.52, close=36.33, volume=458, wap=36.111, count=329}]]
2021-08-13 01:05:18:235 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 202009938, id=151, symbol=ABUS, open=3.22, high=3.27, low=3.1, close=3.19, volume=13169, wap=3.180765, count=4844}, HistDataBean{time='2021-08-03 00:00:00', conid= 202009938, id=145, symbol=ABUS, open=2.75, high=2.76, low=2.67, close=2.75, volume=5399, wap=2.72622, count=1761}], [HistDataBean{time='2021-07-29 00:00:00', conid= 202009938, id=142, symbol=ABUS, open=2.82, high=2.89, low=2.72, close=2.76, volume=17745, wap=2.78708, count=5101}, HistDataBean{time='2021-07-27 00:00:00', conid= 202009938, id=140, symbol=ABUS, open=2.72, high=2.73, low=2.62, close=2.7, volume=5727, wap=2.679705, count=2049}]]
2021-08-13 01:05:18:801 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-09 00:00:00', conid= 211726414, id=149, symbol=AC, open=35.71, high=36.46, low=35.11, close=35.62, volume=182, wap=35.632, count=125}, HistDataBean{time='2021-07-28 00:00:00', conid= 211726414, id=141, symbol=AC, open=37.63, high=39.1, low=37.63, close=38.48, volume=81, wap=38.1265, count=71}], [HistDataBean{time='2021-07-27 00:00:00', conid= 211726414, id=140, symbol=AC, open=37.18, high=37.98, low=36.79, close=37.77, volume=87, wap=37.246, count=70}, HistDataBean{time='2021-07-12 00:00:00', conid= 211726414, id=129, symbol=AC, open=39.07, high=40.1, low=38.84, close=39.58, volume=74, wap=39.4845, count=64}]]
